county,display,fips,state,slug
Hudson,"Hudson, NJ",34017,NJ,hudson-nj
Howard,"Howard, MD",24027,MD,howard-md
Hunterdon,"Hunterdon, NJ",34019,NJ,hunterdon-nj
Henrico,"Henrico, VA",51087,VA,henrico-va
Hopewell City,"Hopewell City, VA",51670,VA,hopewell-city-va
Henry,"Henry, VA",51089,VA,henry-va
Harrisonburg City,"Harrisonburg City, VA",51660,VA,harrisonburg-city-va
Huntingdon,"Huntingdon, NY",42061,NY,huntingdon-ny
Huntingdon,"Huntingdon, PA",42061,PA,huntingdon-pa
Indiana,"Indiana, PA",42063,PA,indiana-pa
King And Queen,"King And Queen, VA",51097,VA,king-and-queen-va
Kent,"Kent, DE",10001,DE,kent-de
Isle Of Wight,"Isle Of Wight, VA",51093,VA,isle-of-wight-va
Juniata,"Juniata, MS",28085,MS,juniata-ms
Jefferson,"Jefferson, WV",54037,WV,jefferson-wv
Jefferson,"Jefferson, PA",42065,PA,jefferson-pa
Kent,"Kent, MD",24029,MD,kent-md
Juniata,"Juniata, PA",42067,PA,juniata-pa
James City,"James City, VA",51095,VA,james-city-va
Lebanon,"Lebanon, PA",42075,PA,lebanon-pa
King George,"King George, VA",51099,VA,king-george-va
Lehigh,"Lehigh, PA",42077,PA,lehigh-pa
Lancaster,"Lancaster, VA",51103,VA,lancaster-va
King William,"King William, VA",51101,VA,king-william-va
Lexington City,"Lexington City, VA",51678,VA,lexington-city-va
Lawrence,"Lawrence, PA",42073,PA,lawrence-pa
Lancaster,"Lancaster, PA",42071,PA,lancaster-pa
Loudoun,"Loudoun, VA",51107,VA,loudoun-va
Lackawanna,"Lackawanna, PA",42069,PA,lackawanna-pa
Luzerne,"Luzerne, PA",42079,PA,luzerne-pa
Louisa,"Louisa, VA",51109,VA,louisa-va
Lycoming,"Lycoming, PA",42081,PA,lycoming-pa
Lunenburg,"Lunenburg, VA",51111,VA,lunenburg-va
Lynchburg City,"Lynchburg City, VA",51680,VA,lynchburg-city-va
Marion,"Marion, WV",54049,WV,marion-wv
Manassas City,"Manassas City, VA",51683,VA,manassas-city-va
Manassas Park City,"Manassas Park City, VA",51685,VA,manassas-park-city-va
Mathews,"Mathews, VA",51115,VA,mathews-va
Madison,"Madison, VA",51113,VA,madison-va
Middlesex,"Middlesex, NJ",34023,NJ,middlesex-nj
Mercer,"Mercer, NJ",34021,NJ,mercer-nj
Mecklenburg,"Mecklenburg, VA",51117,VA,mecklenburg-va
Mercer,"Mercer, PA",42085,PA,mercer-pa
Mckean,"Mckean, PA",42083,PA,mckean-pa
Mifflin,"Mifflin, PA",42087,PA,mifflin-pa
Mineral,"Mineral, WV",54057,WV,mineral-wv
Monmouth,"Monmouth, NJ",34025,NJ,monmouth-nj
Mingo,"Mingo, WV",54059,WV,mingo-wv
Middlesex,"Middlesex, VA",51119,VA,middlesex-va
Monongalia,"Monongalia, WV",54061,WV,monongalia-wv
Morris,"Morris, NJ",34027,NJ,morris-nj
Nelson,"Nelson, VA",51125,VA,nelson-va
Monroe,"Monroe, PA",42089,PA,monroe-pa
Montgomery,"Montgomery, PA",42091,PA,montgomery-pa
Montgomery,"Montgomery, MD",24031,MD,montgomery-md
Montour,"Montour, PA",42093,PA,montour-pa
Montgomery,"Montgomery, VA",51121,VA,montgomery-va
New Castle,"New Castle, DE",10003,DE,new-castle-de
Morgan,"Morgan, WV",54065,WV,morgan-wv
Nicholas,"Nicholas, WV",54067,WV,nicholas-wv
Norfolk City,"Norfolk City, VA",51710,VA,norfolk-city-va
Nottoway,"Nottoway, VA",51135,VA,nottoway-va
Northampton,"Northampton, PA",42095,PA,northampton-pa
New Kent,"New Kent, VA",51127,VA,new-kent-va
Northampton,"Northampton, VA",51131,VA,northampton-va
Northumberland,"Northumberland, PA",42097,PA,northumberland-pa
Newport News City,"Newport News City, VA",51700,VA,newport-news-city-va
Northumberland,"Northumberland, VA",51133,VA,northumberland-va
Ocean,"Ocean, NJ",34029,NJ,ocean-nj
Orange,"Orange, VA",51137,VA,orange-va
Passaic,"Passaic, NJ",34031,NJ,passaic-nj
Ohio,"Ohio, WV",54069,WV,ohio-wv
Perry,"Perry, PA",42099,PA,perry-pa
Orange,"Orange, FL",12095,FL,orange-fl
Petersburg City,"Petersburg City, VA",51730,VA,petersburg-city-va
Page,"Page, VA",51139,VA,page-va
